逾期180天以上未还款本金,_OverDue_180_Princp
逾期31至60天未还款本金,_OverDue_30_Princp
逾期91至180未还款本金,_OverDue_90_Princp
逾期61至90未还款本金,_OverDue_60_Princp
办公场所低值易耗品摊销,_Amz_Fld_Stor
贷款逾期月最高逾期总额,_Loan_OverDue_Mon_Max_Amt
第三方产品客户风险等级,_Third_Prd_Rist_Rank
贷款逾期最长逾期月数,_Loan_OverDue_Max_Mon_Qty
第三方产品账户类交易,_Third_Prd_Acct_Txn
保险对债项覆盖情况,_Insur_Debts_Covr_Sit
本单位工作起始年份,_COMP_START_YEAR
考虑缴费因子之前的,_BF
考虑缴费因子之后的,_AF
列入预警客户名单,_Alert_Cust_List
人员工资及福利费,_Prs_Wage_Wlf
入账账号必须输入,_Post_Acct_Num_Must_Input
特殊交易类型描述,_Spec_Trad_Type_Desc
违约账户直接成本,_Deflt_Acct_Direct_Cost
业务过程完全结束,_Busi_Proc_Cmpl_Over
逾期持续月数1P,_Overdue_Last_Months_1P
逾期持续月数2P,_Overdue_Last_Months_2P
增值服务费类费用,_Added_Srv_Fee_Cls_Cost
主管税务机构名称,_Admn_Tax_Org_Name
资金流入非法渠道,_Funds_Flow_Illeg_Cha
VIP客户标志,_Vip_Cust_Ind
办公场所水电费,_Ofi_Util
办公场所物业费,_Ofi_Prp_Cost
办公场所租赁费,_Ofi_Wlf_Fund
保险单保费缴纳,_Insur_Premium_Pay
保证人代偿笔数,_Guar_Pay_Qty
保证人代偿余额,_Guar_Pay_Bal
发行人为借款人,_Issuer_Is_Brwer
支持唯一性校验,_Support_Unique_Check
注册地所在国家,_Lgn_Cty
变更内部序列号,_Change_Id
180天以上,_Over_180D
资源应用名,_Res_From_Apname
资源文件名,_Res_Name
超限费类费用,_Exc_Lmt_Fee_Cls_Cost
初级内部评级,_FIRB
法人机构数量,_Corp_Org_Qty
非企业主客户,_Non_Corp
高级内部评级,_AIRB
交通运输工具,_Trpt
交易对方客户,_Cntrpty
手续费类费用,_Fee_Cls_Cost
退单无偿放单,_Ret_Free_Doc
应计未收利息,_Accrued_Int
逾期金额1P,_Overdue_Amt_1P
逾期金额2P,_Overdue_Amt_2P
逾期月份1P,_Overdue_Mon_1P
逾期月份2P,_Overdue_Mon_2P
预借现金比例,_Cash_Adv_Ratio
滞纳金类费用,_Late_Fee_Cls_Cost
组织机构代码,_Organ_Code_Cert
折算标准保费,_Std_Prem
MAC地址,_MAC_Addr
法律有效性,_Low_Valid
非企业客户,_Non_Corp
风险准备金,_Risk_Provn
计提管理费,_Acc_Mgt_Fee
宽限期周期,_Grc_Period
年费类费用,_Year_Fee_Cls_Cost
人口统计学,_Demog
识别信息号,_Iden_Num
收入类费用,_Income_Cls_Cost
投资人户名,_Investor_Uname
往来科目号,_Cuss_Coa_Num
一般纳税人,_General_Taxpayer
债券多券种,_Bonds
账号或卡号,_Acct_Num
制卡批次号,_Mk_Cd_Num
资产负债端,_AST_LIAB_PORT
最近更新人,_Last_Update_User
主附险标识,_Rider_Flag
12个月,_12_Mon
24个月,_24_Mon
IP地址,_IP_Addr
资源类型,_Res_Type
保险险种,_Insur_Type
报表项目,_Rpt_Item
被保险人,_Insured
被保证人,_Warrantee
本人声明,_Announce
成本费用,_Cost
代理机构,_Agency
代码转换,_Code_Chg
单利复利,_Singl_Compd_Int
地址行1,_Addr_Line1
地址行2,_Addr_Line2
地址行3,_Addr_Line3
地址行4,_Addr_Line4
地址行5,_Addr_Line5
地址行6,_Addr_Line6
电子邮件,_Email
电子邮箱,_Email
对外担保,_Other_Guar
兑付方式,_Cash_Mode
二代支付,_CNAPS
发票号码,_Invoice_Num
发起方式,_Init_Mode
罚息利率,_Pny_Int_Rate
法人代表,_Leg_rep
放款合同,_Ln_Iss_Ctr
分支机构,_Branch_Org
风险资本,_Venture_Cap
附加级别,_Scdy_Lvl
附息利率,_Int_Bear_Rate
高级内评,_AIRB
工作单位,_Enterprise
工作日期,_Work_Dt
公众平台,_MP
共有财产,_Comm_Proper
估值首日,_Eval_Fst_Day
股票代码,_Stock_Code
行政机构,_Admn
行政区划,_Region
合格缓释,_Elig_Mitg
合格证书,_Qualf
核心客户,_BCS_Cust
核心系统,_TIS
会计分录,_Acct_Entry
会计年度,_Fiscal_Year
基本汇率,_Base_Rate
交易对方,_Cntrpty
交易对手,_Cntrpty
交易品种,_Txn_Cls
交易员工,_Txn_Employee
借贷方向,_Db_Cr_Dir
就读学校,_School
开户银行,_Open_Bank
开始日期,_St_Dt
可供出售,_Afs
客户集市,_CMM
密码键盘,_Pin
民事判决,_CIVIL_JUDGE
内部账户,_Inter_Acct
年内序号,_Year_Num
票据系统,_BIL
评估价值,_Est_Val
企业客户,_Corp
热线电话,_Hotline
人工审批,_Manu_Appr
人力资源,_HRM
日常管理,_Daily_Mgmt
日期时间,_Dttm
上级主管,_Supervisor
收入类型,_Income_Type
数据仓库,_EDW
私营业主,_Prvt_Entrep
四舍五入,_Rounding
速动比率,_Quick_Ratio
所在位置,_Loc
提前支取,_Unexpr_Draw
统计月报,_Stamon
统计指标,_Statis
投资类型,_Invest_Type
投资组合,_Portf
无形资产,_Intangible_Ast
五级分类,_Categ5
五期以上,_M6
物理地址,_Real_Addr
细节明细,_Det
小数位数,_Decimal_Digt
修正久期,_Modf_Duration
移动终端,_WCB
银行账号,_Acct_Num
应付未付,_Payable
应收未收,_Rcvable
应收账款,_Rcvable
应用网关,_Ag
邮政编码,_Zipcode
有权机关,_Org
有效久期,_Eff_Duration
有效利率,_EIR
有效期内,_Valid_Period
有形资产,_Tangible_Ast
预借现金,_Cash_Adv
预收货款,_Adv_Rcv_Amt
再承包商,_Scdy_Contractor
轧差场次,_Net_Rnd
占地面积,_Ground_Area
账单利息,_Stmt_Int
正在进行,_Ongoing
执业资格,_COMPETENCE
直系亲属,_Immdt_Rltv
中介公司,_Agency
重新估价,_Reval
周边环境,_Surround
注册资本,_Reg_Cap
转出账户,_Tfrout_Acct
转入账户,_Tfr_In_Acct
资质材料,_Qua_Mat
自助服务,_Ss
总账段值,_Gl_Segment
总账系统,_GLS
租赁期限,_Lease_Term
足额提取,_Full_Extract
最近一期,_Last_Term
起售日期,_Mrkt_Str_dt
停售日期,_Mrkt_End_dt
身体指数,_BMI
是否吸烟,_Smoking_Ind
社保标识,_Social_Sec
交费年期,_Prem_Period
出生日期,_Birthday
税后保费,_Taxed_Prem
保障期间,_Coverage_Period
投保日期,_Apply_Date
承保日期,_Issue_Date
重疾绿通,_Illness_Exp
处理方式,_Manage
订单类型,Service_Type
年期类型,_Period
是否抽烟,_Smoking
合作方式,_Cooper_Meth
个单对接,_Per_Order
ECIF,_Ecif
英文姓,_Surname
英文名,_Forename
白名单,_Whitelist
百分比,_Pct
保险单,_Insr_Doc
保证金,_Margin
保证人,_Warrantor
报文头,_Mess_Head
备付金,_Provn
备用1,_Standby_1
备用2,_Standby_2
备用3,_Standby_3
背书人,_Endorser
被保行,_Guared_Bank
被保人,_Insured
被冲销,_Offseted
被冲账,_Reversed
被归并,_Merged
被替换,_Replaced
